phase,t,pos,vel,effort_js,wrench_fx,cmd_v
exp,0.0085,-1.421406,-0.000001,0.000,0.000000,0.0026
exp,0.0244,-1.421406,-0.000001,0.000,0.000000,0.0073
exp,0.0358,-1.421406,-0.000001,0.000,-0.000000,0.0108
exp,0.0466,-1.421396,0.002563,0.000,-0.000000,0.0140
exp,0.0602,-1.421343,0.010752,0.000,-0.000000,0.0181
exp,0.0688,-1.421300,0.010752,0.000,0.000000,0.0206
exp,0.0806,-1.421227,0.018064,0.000,0.000000,0.0242
exp,0.0857,-1.421145,0.020646,0.000,0.000000,0.0257
exp,0.0959,-1.421145,0.020646,0.000,0.000000,0.0288
exp,0.1072,-1.421145,0.020646,0.000,0.010656,0.0322
exp,0.1187,-1.421048,0.024183,0.000,0.000000,0.0356
exp,0.1321,-1.420933,0.028762,0.000,0.000000,0.0396
exp,0.1429,-1.420804,0.032173,0.000,0.000000,0.0429
exp,0.1462,-1.420662,0.035617,0.000,0.000000,0.0439
exp,0.1561,-1.420348,0.042883,0.000,0.000000,0.0468
exp,0.1672,-1.420001,0.043862,0.000,0.000000,0.0502
exp,0.1795,-1.419814,0.046824,0.000,0.000000,0.0539
exp,0.1916,-1.419412,0.050154,0.000,0.000000,0.0575
exp,0.1959,-1.419412,0.050154,0.000,0.000000,0.0588
exp,0.2064,-1.418967,0.057489,0.000,0.000000,0.0619
exp,0.2160,-1.418732,0.058778,0.000,0.000000,0.0648
exp,0.2285,-1.418497,0.058778,0.000,0.000001,0.0685
exp,0.2401,-1.418249,0.061907,0.000,0.000000,0.0720
exp,0.2528,-1.417716,0.068538,0.000,0.000000,0.0758
exp,0.2642,-1.417428,0.072020,0.000,0.000001,0.0793
exp,0.2657,-1.417140,0.072020,0.000,0.000001,0.0797
exp,0.2777,-1.416533,0.075839,0.000,0.000001,0.0833
exp,0.2890,-1.415562,0.083297,0.000,0.000001,0.0867
exp,0.3036,-1.415229,0.083297,0.000,0.000001,0.0911
exp,0.3057,-1.414535,0.086695,0.000,0.000001,0.0917
exp,0.3162,-1.413842,0.086695,0.000,0.000001,0.0949
exp,0.3262,-1.413475,0.091702,0.000,0.000001,0.0979
exp,0.3384,-1.412729,0.094853,0.000,0.000001,0.1015
exp,0.3506,-1.411555,0.097850,0.000,0.000001,0.1052
exp,0.3627,-1.410742,0.101533,0.000,0.000001,0.1088
exp,0.3658,-1.410322,0.105167,0.000,0.000001,0.1097
exp,0.3759,-1.409901,0.105167,0.000,0.000001,0.1128
exp,0.3874,-1.409031,0.108803,0.000,0.000001,0.1162
exp,0.3993,-1.409031,0.108803,0.000,0.000001,0.1198
exp,0.4121,-1.407666,0.116224,0.000,0.000001,0.1236
exp,0.4159,-1.407666,0.116224,0.000,0.000001,0.1248
exp,0.4258,-1.406706,0.123642,0.000,0.000001,0.1278
exp,0.4362,-1.406207,0.124767,0.000,0.000001,0.1309
exp,0.4485,-1.405173,0.130859,0.000,0.000001,0.1345
exp,0.4608,-1.404649,0.130859,0.000,0.000001,0.1382
exp,0.4737,-1.403588,0.134535,0.000,0.000001,0.1421
exp,0.4758,-1.403049,0.134535,0.000,0.000001,0.1427
exp,0.4861,-1.403049,0.134535,0.000,0.000001,0.1458
exp,0.4970,-1.403049,0.134535,0.000,0.000001,0.1491
exp,0.5108,-1.402496,0.138225,0.000,0.000001,0.1533
exp,0.5222,-1.401913,0.145832,0.000,0.000001,0.1567
exp,0.5268,-1.400150,0.149108,0.000,0.000001,0.1580
exp,0.5362,-1.398957,0.149108,0.000,0.000001,0.1609
exp,0.5465,-1.397704,0.156658,0.000,0.000001,0.1640
exp,0.5594,-1.396434,0.160857,0.000,0.000001,0.1678
exp,0.5708,-1.396434,0.160857,0.000,0.000001,0.1712
exp,0.5760,-1.396434,0.160857,0.000,0.000002,0.1728
exp,0.5860,-1.395093,0.171224,0.000,0.000002,0.1758
exp,0.5959,-1.395093,0.171224,0.000,0.000002,0.1788
exp,0.6083,-1.395093,0.171224,0.000,0.000002,0.1825
exp,0.6201,-1.394408,0.171224,0.000,0.000002,0.1860
exp,0.6320,-1.391516,0.186036,0.000,0.000002,0.1896
exp,0.6361,-1.390028,0.186036,0.000,0.000002,0.1908
exp,0.6459,-1.389269,0.189598,0.000,0.000002,0.1938
exp,0.6567,-1.387748,0.190834,0.000,0.000002,0.1970
exp,0.6693,-1.386198,0.193758,0.000,0.000002,0.2008
exp,0.6813,-1.386198,0.193758,0.000,0.000002,0.2044
exp,0.6929,-1.386198,0.193758,0.000,0.000002,0.2079
exp,0.6965,-1.385409,0.197011,0.000,0.000002,0.2089
exp,0.7064,-1.385409,0.197011,0.000,0.010357,0.2119
exp,0.7178,-1.383775,0.207867,0.000,0.000002,0.2154
exp,0.7303,-1.381244,0.211906,0.000,0.000002,0.2191
exp,0.7421,-1.379521,0.215351,0.000,0.000002,0.2226
exp,0.7460,-1.378645,0.219081,0.000,0.000002,0.2238
exp,0.7560,-1.376892,0.219081,0.000,0.000002,0.2268
exp,0.7687,-1.374199,0.226784,0.000,0.010275,0.2306
exp,0.7815,-1.373292,0.226784,0.000,0.000002,0.2344
exp,0.7918,-1.373292,0.226784,0.000,0.000002,0.2375
exp,0.8029,-1.371462,0.230603,0.000,0.000002,0.2409
exp,0.8068,-1.369574,0.237544,0.000,0.000002,0.2420
exp,0.8163,-1.368624,0.237544,0.000,0.000002,0.2449
exp,0.8286,-1.365724,0.242044,0.000,0.000002,0.2486
exp,0.8405,-1.364745,0.244902,0.000,0.000002,0.2521
exp,0.8533,-1.362756,0.248584,0.000,0.000002,0.2560
exp,0.8561,-1.361748,0.252141,0.000,0.000002,0.2568
exp,0.8666,-1.361748,0.252141,0.000,0.000002,0.2600
exp,0.8772,-1.360739,0.252141,0.000,0.000002,0.2632
exp,0.8886,-1.360739,0.252141,0.000,0.000002,0.2666
exp,0.9022,-1.360739,0.252141,0.000,0.000003,0.2706
exp,0.9064,-1.358645,0.266586,0.000,0.000002,0.2719
exp,0.9165,-1.358645,0.266586,0.000,0.000002,0.2750
exp,0.9267,-1.357563,0.270645,0.000,0.000002,0.2780
exp,0.9383,-1.356475,0.271918,0.000,0.000003,0.2815
exp,0.9529,-1.355375,0.274952,0.000,0.000003,0.2859
exp,0.9626,-1.354263,0.278018,0.000,0.000003,0.2888
exp,0.9659,-1.352011,0.281488,0.000,0.000003,0.2898
exp,0.9760,-1.350868,0.285879,0.000,0.000003,0.2928
exp,0.9868,-1.349709,0.289779,0.000,0.000003,0.2961
exp,0.9993,-1.346194,0.296050,0.000,0.000003,0.2998
exp,1.0117,-1.343826,0.296050,0.000,0.000003,0.3035
exp,1.0160,-1.341427,0.299801,0.000,0.000003,0.3048
exp,1.0286,-1.340213,0.303497,0.000,0.000003,0.3086
exp,1.0366,-1.340213,0.303497,0.000,0.000003,0.3110
exp,1.0485,-1.338999,0.303497,0.000,0.000003,0.3145
exp,1.0603,-1.337780,0.304797,0.000,0.000003,0.3181
exp,1.0657,-1.336536,0.310967,0.000,0.000003,0.3197
exp,1.0758,-1.335278,0.314546,0.000,0.000003,0.3228
exp,1.0860,-1.334006,0.318084,0.000,0.000003,0.3258
exp,1.0982,-1.332715,0.322751,0.000,0.000003,0.3295
exp,1.1108,-1.331424,0.322751,0.000,0.000003,0.3332
exp,1.1217,-1.331424,0.322751,0.000,0.000003,0.3365
exp,1.1259,-1.328788,0.333224,0.000,0.000003,0.3378
exp,1.1359,-1.327455,0.333224,0.000,0.000003,0.3408
exp,1.1475,-1.326104,0.337777,0.000,0.000003,0.3443
exp,1.1590,-1.323390,0.340777,0.000,0.000003,0.3477
exp,1.1707,-1.322012,0.344253,0.000,0.000003,0.3512
exp,1.1758,-1.319245,0.347705,0.000,0.000003,0.3527
exp,1.1860,-1.317840,0.351199,0.000,0.000003,0.3558
exp,1.1968,-1.315018,0.352744,0.000,0.000003,0.3590
exp,1.2078,-1.313595,0.355812,0.000,0.000004,0.3623
exp,1.2208,-1.312159,0.359041,0.000,0.000004,0.3662
exp,1.2320,-1.309286,0.359041,0.000,0.000004,0.3696
exp,1.2455,-1.309286,0.359041,0.000,0.000004,0.3737
exp,1.2465,-1.307837,0.362338,0.000,0.000004,0.3740
exp,1.2561,-1.301977,0.366235,0.000,0.000004,0.3768
exp,1.2692,-1.300482,0.373658,0.000,0.000004,0.3808
exp,1.2806,-1.295972,0.376818,0.000,0.000004,0.3842
exp,1.2859,-1.294449,0.380764,0.000,0.000004,0.3858
exp,1.2956,-1.291389,0.384165,0.000,0.000004,0.3887
exp,1.3068,-1.289846,0.385763,0.000,0.000004,0.3920
exp,1.3180,-1.285182,0.388691,0.000,0.000004,0.3954
exp,1.3297,-1.285182,0.388691,0.000,0.000004,0.3989
exp,1.3424,-1.283614,0.392038,0.000,0.000004,0.4027
exp,1.3459,-1.280437,0.398915,0.000,0.000004,0.4038
exp,1.3566,-1.280437,0.398915,0.000,0.000004,0.4070
exp,1.3665,-1.280437,0.398915,0.000,0.000004,0.4099
exp,1.3789,-1.280437,0.398915,0.000,0.000004,0.4137
exp,1.3949,-1.277186,0.409943,0.000,0.000004,0.4185
exp,1.4037,-1.275546,0.409943,0.000,0.000004,0.4211
exp,1.4061,-1.273891,0.413671,0.000,0.000004,0.4218
exp,1.4164,-1.273891,0.413671,0.000,0.000004,0.4249
exp,1.4290,-1.272237,0.413671,0.000,0.000004,0.4287
exp,1.4405,-1.268862,0.421818,0.000,0.000004,0.4321
exp,1.4526,-1.268862,0.421818,0.000,0.000004,0.4358
exp,1.4560,-1.267175,0.421818,0.000,0.000004,0.4368
exp,1.4666,-1.263732,0.432147,0.000,0.000004,0.4400
exp,1.4769,-1.261988,0.435773,0.000,0.000004,0.4431
exp,1.4900,-1.258481,0.439984,0.000,0.000004,0.4470
exp,1.5027,-1.256709,0.443054,0.000,0.000004,0.4508
exp,1.5062,-1.254921,0.447007,0.000,0.000004,0.4518
exp,1.5161,-1.253133,0.447007,0.000,0.000004,0.4548
exp,1.5259,-1.253133,0.447007,0.000,0.000004,0.4578
exp,1.5381,-1.251326,0.451848,0.000,0.000004,0.4614
exp,1.5512,-1.247675,0.457759,0.000,0.000005,0.4654
exp,1.5635,-1.245844,0.457759,0.000,0.000005,0.4691
exp,1.5669,-1.243999,0.461415,0.000,0.000005,0.4701
exp,1.5763,-1.242137,0.465360,0.000,0.000005,0.4729
exp,1.5883,-1.242137,0.465360,0.000,0.000005,0.4765
exp,1.5996,-1.240261,0.469060,0.000,0.000005,0.4799
exp,1.6115,-1.236489,0.472880,0.000,0.000005,0.4835
exp,1.6157,-1.234570,0.479866,0.000,0.000005,0.4847
exp,1.6260,-1.228777,0.484717,0.000,0.000005,0.4878
exp,1.6366,-1.224900,0.484717,0.000,0.000005,0.4910
exp,1.6485,-1.219033,0.490975,0.000,0.000005,0.4945
exp,1.6605,-1.217069,0.490975,0.000,0.000005,0.4982
exp,1.6731,-1.215105,0.490975,0.000,0.000005,0.5019
exp,1.6766,-1.213127,0.494544,0.000,0.000005,0.5030
exp,1.6873,-1.211135,0.498154,0.000,0.000005,0.5062
exp,1.7018,-1.207115,0.502985,0.000,0.000005,0.5105
exp,1.7102,-1.207115,0.502985,0.000,0.000005,0.5131
exp,1.7241,-1.207115,0.502985,0.000,0.000005,0.5172
exp,1.7268,-1.203051,0.513068,0.000,0.000005,0.5180
exp,1.7393,-1.200999,0.513068,0.000,0.000005,0.5218
exp,1.7481,-1.198930,0.517224,0.000,0.000005,0.5244
exp,1.7591,-1.194785,0.518033,0.000,0.000005,0.5277
exp,1.7707,-1.192698,0.521791,0.000,0.000005,0.5312
exp,1.7825,-1.188490,0.527740,0.000,0.000005,0.5347
exp,1.7869,-1.186379,0.527740,0.000,0.000005,0.5361
exp,1.7961,-1.186379,0.527740,0.000,0.000005,0.5388
exp,1.8072,-1.182115,0.534746,0.000,0.000005,0.5422
exp,1.8200,-1.175652,0.542152,0.000,0.000006,0.5460
exp,1.8316,-1.171315,0.542152,0.000,0.000005,0.5495
exp,1.8363,-1.166947,0.546008,0.000,0.000006,0.5509
exp,1.8469,-1.162551,0.549489,0.000,0.000006,0.5541
exp,1.8569,-1.162551,0.549489,0.000,0.000006,0.5571
exp,1.8694,-1.160347,0.550904,0.000,0.000006,0.5608
exp,1.8809,-1.153712,0.557055,0.000,0.000006,0.5643
exp,1.8930,-1.151468,0.560829,0.000,0.000006,0.5679
exp,1.8960,-1.149211,0.564259,0.000,0.000006,0.5688
exp,1.9068,-1.146954,0.564259,0.000,0.000006,0.5720
exp,1.9182,-1.144683,0.567888,0.000,0.000006,0.5755
exp,1.9320,-1.137805,0.575468,0.000,0.000006,0.5796
exp,1.9423,-1.135503,0.575468,0.000,0.000006,0.5827
exp,1.9458,-1.133201,0.575468,0.000,0.000006,0.5837
exp,1.9576,-1.130882,0.579597,0.000,0.000006,0.5873
exp,1.9687,-1.130882,0.579597,0.000,0.000006,0.5906
exp,1.9796,-1.130882,0.579597,0.000,0.000006,0.5939
exp,1.9913,-1.126203,0.587265,0.000,0.000006,0.5974
exp,1.9959,-1.119102,0.593886,0.000,0.000006,0.5988
exp,2.0061,-1.114323,0.597380,0.000,0.000006,0.6018
exp,2.0159,-1.109533,0.598772,0.000,0.000006,0.6048
exp,2.0276,-1.104707,0.604757,0.000,0.000006,0.6083
exp,2.0412,-1.104707,0.604757,0.000,0.000006,0.6124
exp,2.0536,-1.102288,0.604757,0.000,0.000006,0.6161
exp,2.0558,-1.102288,0.604757,0.000,0.000006,0.6168
exp,2.0668,-1.099869,0.604757,0.000,0.000006,0.6201
exp,2.0779,-1.097419,0.612371,0.000,0.000006,0.6234
exp,2.0892,-1.094939,0.620052,0.000,0.000006,0.6268
exp,2.1014,-1.092459,0.620052,0.000,0.000006,0.6304
exp,2.1130,-1.087445,0.626764,0.000,0.000006,0.6339
exp,2.1162,-1.087445,0.626764,0.000,0.000006,0.6349
exp,2.1285,-1.087445,0.626764,0.000,0.000006,0.6386
exp,2.1392,-1.084923,0.630404,0.000,0.000006,0.6418
exp,2.1507,-1.079844,0.634850,0.000,0.000006,0.6452
exp,2.1627,-1.072171,0.641773,0.000,0.000007,0.6488
exp,2.1661,-1.067009,0.645201,0.000,0.000007,0.6498
exp,2.1762,-1.061819,0.648823,0.000,0.000007,0.6529
exp,2.1873,-1.056620,0.649830,0.000,0.000007,0.6562
exp,2.1993,-1.056620,0.649830,0.000,0.000007,0.6598
exp,2.2116,-1.054009,0.652872,0.000,0.000007,0.6635
exp,2.2252,-1.048745,0.659798,0.000,0.000007,0.6676
exp,2.2290,-1.048745,0.659798,0.000,0.000007,0.6687
exp,2.2379,-1.046091,0.663474,0.000,0.000007,0.6714
exp,2.2485,-1.043437,0.663474,0.000,0.000007,0.6746
exp,2.2609,-1.038053,0.674558,0.000,0.000007,0.6783
exp,2.2722,-1.032657,0.674558,0.000,0.000007,0.6817
exp,2.2757,-1.027231,0.678270,0.000,0.000007,0.6827
exp,2.2862,-1.021777,0.681667,0.000,0.000007,0.6859
exp,2.2976,-1.019046,0.682703,0.000,0.000007,0.6893
exp,2.3100,-1.016316,0.682703,0.000,0.000007,0.6930
exp,2.3240,-1.013572,0.685870,0.000,0.000007,0.6972
exp,2.3261,-1.008043,0.692999,0.000,0.000007,0.6978
exp,2.3362,-1.005271,0.692999,0.000,0.000007,0.7009
exp,2.3463,-0.999708,0.697820,0.000,0.000007,0.7039
exp,2.3585,-0.994101,0.700853,0.000,0.000007,0.7075
exp,2.3705,-0.985625,0.707535,0.000,0.000007,0.7111
exp,2.3833,-0.979950,0.711138,0.000,0.000007,0.7150
exp,2.3862,-0.977106,0.711138,0.000,0.000008,0.7159
exp,2.3958,-0.977106,0.711138,0.000,0.000008,0.7187
exp,2.4079,-0.974246,0.714998,0.000,0.000008,0.7224
exp,2.4198,-0.974246,0.714998,0.000,0.000008,0.7259
exp,2.4320,-0.971371,0.718728,0.000,0.000008,0.7296
exp,2.4364,-0.968481,0.722364,0.000,0.000008,0.7309
exp,2.4458,-0.968481,0.722364,0.000,0.000008,0.7337
exp,2.4564,-0.965578,0.725930,0.000,0.000008,0.7369
exp,2.4692,-0.962659,0.729596,0.000,0.000008,0.7408
exp,2.4813,-0.956777,0.736933,0.000,0.000008,0.7444
exp,2.4859,-0.953814,0.740772,0.000,0.000008,0.7458
exp,2.4962,-0.950836,0.744395,0.000,0.000008,0.7489
exp,2.5079,-0.947853,0.745774,0.000,0.000008,0.7524
exp,2.5179,-0.947853,0.745774,0.000,0.000008,0.7554
exp,2.5300,-0.941860,0.752371,0.000,0.000008,0.7590
exp,2.5429,-0.941860,0.752371,0.000,0.000008,0.7629
exp,2.5458,-0.938839,0.755361,0.000,0.000008,0.7637
exp,2.5568,-0.935803,0.759004,0.000,0.000008,0.7670
exp,2.5662,-0.932767,0.759004,0.000,0.000008,0.7699
exp,2.5785,-0.929712,0.763735,0.000,0.000008,0.7736
exp,2.5913,-0.923553,0.769861,0.000,0.000008,0.7774
exp,2.5963,-0.917379,0.773556,0.000,0.000008,0.7789
exp,2.6062,-0.914270,0.777397,0.000,0.000008,0.7819
exp,2.6161,-0.911160,0.777397,0.000,0.000009,0.7848
exp,2.6287,-0.904917,0.781865,0.000,0.000009,0.7886
exp,2.6405,-0.901778,0.784838,0.000,0.000009,0.7921
exp,2.6527,-0.898623,0.788605,0.000,0.000009,0.7958
exp,2.6558,-0.895469,0.788605,0.000,0.000009,0.7967
exp,2.6665,-0.892300,0.792136,0.000,0.000009,0.7999
exp,2.6777,-0.889113,0.796741,0.000,0.000009,0.8033
exp,2.6900,-0.885926,0.796741,0.000,0.000009,0.8070
exp,2.7012,-0.876314,0.803317,0.000,0.000009,0.8103
exp,2.7060,-0.869858,0.807014,0.000,0.000009,0.8118
exp,2.7166,-0.863388,0.810345,0.000,0.000009,0.8150
exp,2.7258,-0.860141,0.811803,0.000,0.000009,0.8177
exp,2.7388,-0.853634,0.814971,0.000,0.000009,0.8216
exp,2.7507,-0.843821,0.817734,0.000,0.000009,0.8252
exp,2.7630,-0.837248,0.821634,0.000,0.000009,0.8289
exp,2.7661,-0.830646,0.825216,0.000,0.000009,0.8298
exp,2.7763,-0.827345,0.825216,0.000,0.000009,0.8329
exp,2.7872,-0.820710,0.829818,0.000,0.000009,0.8361
exp,2.8002,-0.814047,0.832877,0.000,0.000009,0.8401
exp,2.8113,-0.807358,0.836146,0.000,0.000009,0.8434
exp,2.8160,-0.797278,0.840053,0.000,0.000009,0.8448
exp,2.8268,-0.790530,0.843392,0.000,0.000009,0.8480
exp,2.8367,-0.783778,0.844811,0.000,0.000009,0.8510
exp,2.8486,-0.773589,0.851022,0.000,0.000009,0.8546
exp,2.8607,-0.766781,0.851022,0.000,0.000010,0.8582
exp,2.8726,-0.753108,0.854569,0.000,0.000010,0.8618
exp,2.8761,-0.749675,0.858216,0.000,0.000010,0.8628
exp,2.8862,-0.742781,0.861765,0.000,0.000010,0.8659
exp,2.8992,-0.735878,0.862824,0.000,0.000010,0.8698
exp,2.9091,-0.732415,0.865865,0.000,0.000010,0.8727
exp,2.9249,-0.725472,0.869753,0.000,0.000010,0.8775
exp,2.9259,-0.725472,0.869753,0.000,0.000010,0.8778
exp,2.9383,-0.718503,0.872727,0.000,0.000010,0.8815
exp,2.9489,-0.715012,0.872727,0.000,0.000010,0.8847
exp,2.9590,-0.711501,0.877778,0.000,0.000010,0.8877
exp,2.9715,-0.700925,0.884669,0.000,0.000010,0.8915
exp,2.9758,-0.693823,0.887685,0.000,0.000010,0.8927
exp,2.9859,-0.690273,0.887685,0.000,0.000010,0.8958
exp,2.9964,-0.683141,0.891464,0.000,0.000010,0.8989
exp,3.0079,-0.675992,0.895764,0.000,0.000010,0.9024
exp,3.0203,-0.672396,0.898935,0.000,0.000010,0.9061
exp,3.0321,-0.665177,0.902383,0.000,0.000010,0.9096
exp,3.0367,-0.661553,0.906084,0.000,0.000010,0.9110
exp,3.0469,-0.661553,0.906084,0.000,0.000010,0.9141
exp,3.0564,-0.661553,0.906084,0.000,0.000010,0.9169
exp,3.0724,-0.643369,0.911000,0.000,0.000010,0.9217
exp,3.0810,-0.639701,0.916919,0.000,0.000010,0.9243
exp,3.0935,-0.636033,0.916919,0.000,0.000010,0.9280
exp,3.0964,-0.628639,0.924297,0.000,0.000010,0.9289
exp,3.1088,-0.624942,0.924297,0.000,0.000010,0.9326
exp,3.1183,-0.617510,0.928930,0.000,0.000010,0.9355
exp,3.1302,-0.610049,0.932644,0.000,0.000010,0.9391
exp,3.1431,-0.602551,0.939073,0.000,0.000010,0.9429
exp,3.1463,-0.602551,0.939073,0.000,0.000010,0.9439
exp,3.1592,-0.595023,0.942944,0.000,0.000010,0.9478
exp,3.1671,-0.591251,0.942944,0.000,0.000010,0.9501
exp,3.1786,-0.587476,0.943892,0.000,0.000010,0.9536
exp,3.1919,-0.583700,0.943892,0.000,0.000010,0.9576
exp,3.2033,-0.576085,0.953569,0.000,0.000010,0.9610
exp,3.2059,-0.576085,0.953569,0.000,0.000010,0.9618
exp,3.2198,-0.564643,0.953569,0.000,0.000010,0.9659
exp,3.2420,-0.560799,0.960994,0.000,0.000010,0.9726
exp,3.2523,-0.541530,0.965939,0.000,0.000010,0.9757
exp,3.2573,-0.533776,0.972587,0.000,0.000010,0.9772
exp,3.2658,-0.529873,0.975678,0.000,0.000010,0.9797
exp,3.2770,-0.525970,0.975678,0.000,0.000010,0.9831
exp,3.2928,-0.518133,0.979732,0.000,0.000010,0.9878
exp,3.3038,-0.510268,0.983113,0.000,0.000009,0.9911
exp,3.3133,-0.506335,0.983113,0.000,0.000009,0.9940
exp,3.3162,-0.498419,0.991131,0.000,0.000009,0.9949
exp,3.3266,-0.498419,0.991131,0.000,0.000009,0.9980
exp,3.3384,-0.490464,0.994856,0.000,0.000009,1.0000
exp,3.3503,-0.486472,0.997974,0.000,0.000009,1.0000
exp,3.3624,-0.478472,1.000000,0.000,0.000009,1.0000
exp,3.3662,-0.478472,1.000000,0.000,0.000009,1.0000
exp,3.3758,-0.474472,1.000000,0.000,0.000009,1.0000
exp,3.3873,-0.470472,1.000000,0.000,0.000008,1.0000
exp,3.4004,-0.462472,1.000000,0.000,0.000008,1.0000
exp,3.4141,-0.458472,1.000000,0.000,0.000008,1.0000
exp,3.4167,-0.458472,1.000000,0.000,0.000008,1.0000
exp,3.4260,-0.454472,1.000000,0.000,0.000008,1.0000
exp,3.4395,-0.450472,1.000000,0.000,0.000008,1.0000
exp,3.4502,-0.450472,1.000000,0.000,0.000008,1.0000
exp,3.4607,-0.442472,1.000000,0.000,0.000008,1.0000
exp,3.4729,-0.430472,1.000000,0.000,0.000007,1.0000
exp,3.4764,-0.422472,1.000000,0.000,0.000007,1.0000
exp,3.4860,-0.414472,1.000000,0.000,0.000007,1.0000
exp,3.4973,-0.402472,1.000000,0.000,0.000006,1.0000
exp,3.5102,-0.394472,1.000000,0.000,0.000006,1.0000
exp,3.5231,-0.390472,1.000000,0.000,0.000005,1.0000
exp,3.5340,-0.386472,1.000000,0.000,0.000005,1.0000
exp,3.5367,-0.382472,1.000000,0.000,0.000005,1.0000
exp,3.5459,-0.374472,1.000000,0.000,0.000005,1.0000
exp,3.5579,-0.370472,1.000000,0.000,0.000004,1.0000
exp,3.5711,-0.366472,1.000000,0.000,0.000004,1.0000
exp,3.5759,-0.358472,1.000000,0.000,0.000004,1.0000
exp,3.5858,-0.354472,1.000000,0.000,0.000004,1.0000
exp,3.5993,-0.350472,1.000000,0.000,0.000003,1.0000
exp,3.6078,-0.346472,1.000000,0.000,0.000003,1.0000
exp,3.6192,-0.346472,1.000000,0.000,0.000003,1.0000
exp,3.6320,-0.342472,1.000000,0.000,0.000003,1.0000
exp,3.6370,-0.342472,1.000000,0.000,0.000003,1.0000
exp,3.6460,-0.334472,1.000000,0.000,0.000003,1.0000
exp,3.6570,-0.330472,1.000000,0.000,0.000002,1.0000
exp,3.6684,-0.322472,1.000000,0.000,0.000002,1.0000
exp,3.6811,-0.314472,1.000000,0.000,0.000002,1.0000
exp,3.6858,-0.306472,1.000000,0.000,0.000002,1.0000
exp,3.6962,-0.302472,1.000000,0.000,0.000001,1.0000
exp,3.7063,-0.298472,1.000000,0.000,0.000001,1.0000
exp,3.7177,-0.290472,1.000000,0.000,0.000001,1.0000
exp,3.7319,-0.290472,1.000000,0.000,0.000001,1.0000
exp,3.7441,-0.286472,1.000000,0.000,0.000001,1.0000
exp,3.7460,-0.282472,1.000000,0.000,0.000001,1.0000
exp,3.7561,-0.282472,1.000000,0.000,0.000001,1.0000
exp,3.7667,-0.278472,1.000000,0.000,0.000000,1.0000
exp,3.7795,-0.270472,1.000000,0.000,0.000000,1.0000
exp,3.7910,-0.262472,1.000000,0.000,0.000000,1.0000
exp,3.7961,-0.258472,1.000000,0.000,0.000000,1.0000
exp,3.8069,-0.254472,1.000000,0.000,0.000000,1.0000
exp,3.8163,-0.250472,1.000000,0.000,0.000000,1.0000
exp,3.8287,-0.242472,1.000000,0.000,0.000000,1.0000
exp,3.8411,-0.242472,1.000000,0.000,0.000000,1.0000
exp,3.8528,-0.242472,1.000000,0.000,0.000000,1.0000
exp,3.8649,-0.238472,1.000000,0.000,0.000000,1.0000
exp,3.8667,-0.234472,1.000000,0.000,0.000000,1.0000
exp,3.8772,-0.230472,1.000000,0.000,0.000000,1.0000
exp,3.8886,-0.226472,1.000000,0.000,0.000000,1.0000
exp,3.9012,-0.218472,1.000000,0.000,0.000000,1.0000
exp,3.9133,-0.214472,1.000000,0.000,0.000000,1.0000
exp,3.9165,-0.210472,1.000000,0.000,0.000000,1.0000
exp,3.9262,-0.206472,1.000000,0.000,0.000000,1.0000
exp,3.9381,-0.198472,1.000000,0.000,0.000000,1.0000
exp,3.9507,-0.186472,1.000000,0.000,0.000000,1.0000
exp,3.9623,-0.178472,1.000000,0.000,0.000000,1.0000
exp,3.9661,-0.170472,1.000000,0.000,0.000000,1.0000
exp,3.9757,-0.166472,1.000000,0.000,0.000000,1.0000
exp,3.9890,-0.158472,1.000000,0.000,0.000000,1.0000
exp,3.9992,-0.154472,1.000000,0.000,0.000000,1.0000
exp,4.0117,-0.142472,1.000000,0.000,0.000000,1.0000
exp,4.0159,-0.134472,1.000000,0.000,0.000000,1.0000
exp,4.0259,-0.130472,1.000000,0.000,0.000000,1.0000
exp,4.0364,-0.122472,1.000000,0.000,0.000000,1.0000
exp,4.0482,-0.110472,1.000000,0.000,0.000000,1.0000
exp,4.0607,-0.098472,1.000000,0.000,0.000000,1.0000
exp,4.0729,-0.086472,1.000000,0.000,0.000000,1.0000
exp,4.0760,-0.082472,1.000000,0.000,0.000000,1.0000
exp,4.0858,-0.074472,1.000000,0.000,-0.000000,1.0000
exp,4.0975,-0.066472,1.000000,0.000,-0.000000,1.0000
exp,4.1098,-0.054472,1.000000,0.000,-0.000000,1.0000
exp,4.1214,-0.046472,1.000000,0.000,-0.000000,1.0000
exp,4.1260,-0.038472,1.000000,0.000,-0.000000,1.0000
exp,4.1361,-0.030472,1.000000,0.000,-0.000000,1.0000
exp,4.1463,-0.026472,1.000000,0.000,-0.000000,1.0000
exp,4.1584,-0.018472,1.000000,0.000,-0.000000,1.0000
exp,4.1707,-0.010472,1.000000,0.000,-0.000000,1.0000
exp,4.1827,-0.002472,1.000000,0.000,-0.000000,1.0000
exp,4.1860,0.005528,1.000000,0.000,-0.000000,1.0000
exp,4.1963,0.009528,1.000000,0.000,-0.000000,1.0000
exp,4.2073,0.017528,1.000000,0.000,0.000000,1.0000
exp,4.2194,0.025528,1.000000,0.000,0.000000,1.0000
exp,4.2315,0.033528,1.000000,0.000,0.000000,1.0000
exp,4.2362,0.037528,1.000000,0.000,0.000000,1.0000
exp,4.2459,0.041528,1.000000,0.000,0.000000,1.0000
